"","Plot","x","y","Tubbs.mtbs.RDNBR","Tubbs.mtbs.DNBR","Tubbs.mtbs.DNBR6","Kincade.mtbs.RDNBR","Kincade.mtbs.DNBR","Kincade.mtbs.DNBR6"
"1","PPW1501",-2273766.69717338,2049491.67618229,418,292,2,60,32,1
"2","PPW1507",-2274033.44906376,2049900.05992787,274,206,2,91,61,2
"3","PPW1509",-2276181.91208098,2053343.90029658,49,17,0,34,13,1
"4","PPW1510",-2276170.45955926,2053556.28494476,216,131,2,43,20,1
"5","PPW1512",-2276633.24683204,2052950.64840297,34,9,0,161,122,2
"6","PPW1515",-2274877.93652345,2051093.93054541,122,77,2,32,12,1
"7","PPW1521",-2275430.94995046,2049179.22182502,100,63,1,18,0,1
"8","PPW1522",-2275111.0475591,2049044.70813483,51,15,1,33,12,1
"9","PPW1524",-2275639.85081025,2051775.37562721,99,60,1,69,43,1
"10","PPW1525",-2273444.22981904,2049878.3776801,139,76,2,26,6,0
"11","PPW1532",-2274740.19712704,2050752.71193117,110,68,1,30,11,1
"12","PPW1535",-2274679.1297197,2050491.77518328,94,57,1,-2,-17,1
"13","PPW1538",-2275200.47531075,2049229.74359474,87,54,1,124,91,2
"14","PPW1539",-2275196.4435084,2049399.04700697,86,47,1,67,40,1
"15","PPW1540",-2273171.32291856,2048201.1559087,595,494,3,-25,-31,0
"16","PPW1544",-2276278.60641482,2052889.12525085,73,38,0,111,73,2
"17","PPW1549",-2273513.45814185,2049517.65359203,547,443,3,27,6,0
"18","PPW2152",-2272905.50536349,2048542.32117195,961,844,4,133,74,0
