"","X","Plot","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"1",1,"PPW1301",526273.898160114,4270355.26855954,-234768.911355131,66138.6032334752,-122.698347511,38.5812772163529,418,292,2,60,32,1,89.2088470458984,251.588439941406,69,64,1,2
"2",2,"PPW1302",525458.732677738,4269583.34036297,-235607.413432093,65391.564968091,-122.707734559478,38.5743444279525,189,130,2,93,60,1,12.9553813934326,52.1316032409668,93,65,1,2
"3",3,"PPW1303",526154.900027297,4269071.82779433,-234928.528652789,64857.334288294,-122.699761866422,38.5697145028377,295,230,2,-38,-43,1,32.4643020629883,131.612060546875,99,103,2,2
"4",4,"PPW1304",525955.691061749,4269224.71064264,-235122.584907722,65016.7263366459,-122.702042913212,38.5710981105876,135,81,2,-80,-72,1,76.0222396850586,126.760726928711,83,77,1,2
"5",5,"PPW1305",526069.156989524,4269636.51359937,-234996.197185701,65425.4452828807,-122.70072500734,38.5748059126482,194,114,2,11,-6,0,31.5808563232422,127.715545654297,100,82,2,2
"6",6,"PPW1306",526033.988592869,4270893.04334645,-234991.375366386,66684.656920515,-122.701081805892,38.5861306433898,489,376,3,-6,-20,0,91.8396530151367,187.745056152344,103,92,2,2
"7",7,"PPW1307",525899.186646549,4270670.17332532,-235133.063393947,66465.7848671158,-122.702637844352,38.5841261087872,274,206,2,91,61,2,16.2055339813232,138.189071655273,92,71,2,2
"8",8,"PPW1308",522759.035561761,4273147.02531638,-238189.909998383,69045.2879887125,-122.738610263019,38.6065332687503,65,24,0,182,124,2,NA,13.4400568008423,69,77,0,NA
"9",9,"PPW1309",522844.00493096,4273346.25636228,-238098.733830811,69242.0718055265,-122.737627852845,38.6083265291417,49,17,0,34,13,1,16.9199256896973,22.0765228271484,81,78,0,NA
"10",10,"PPW1310",522794.914902268,4273550.34407193,-238141.267527689,69447.9684668235,-122.738184981388,38.6101670032494,216,131,2,43,20,1,28.7324237823486,148.338638305664,80,66,2,2
