"","Plot","x","y","Tubbs.barc.dNDVImn5"
"PPW1301","PPW1301",526273.898160114,4270355.26855954,66.4375
"PPW1302","PPW1302",525458.732677738,4269583.34036297,60.5
"PPW1303","PPW1303",526154.900027297,4269071.82779433,86.875
"PPW1304","PPW1304",525955.691061749,4269224.71064264,76.9375
"PPW1305","PPW1305",526069.156989524,4269636.51359937,74.125
"PPW1306","PPW1306",526033.988592869,4270893.04334645,90.9375
"PPW1307","PPW1307",525899.186646549,4270670.17332532,82.8125
"PPW1308","PPW1308",522759.035561761,4273147.02531638,73.6875
"PPW1309","PPW1309",522844.00493096,4273346.25636228,84
"PPW1310","PPW1310",522794.914902268,4273550.34407193,79.5
"PPW1311","PPW1311",522471.595166781,4273311.62277474,60.625
"PPW1312","PPW1312",522517.941780331,4272846.67410978,81.6875
"PPW1313","PPW1313",522854.985164115,4272676.80264977,97.0625
"PPW1314","PPW1314",523249.432505466,4272556.34739941,79.0625
"PPW1315","PPW1315",524744.060998733,4271569.92216367,68.5
"PPW1316","PPW1316",524780.530807826,4271730.90298861,89.0625
"PPW1317","PPW1317",524791.426903259,4271598.15481784,70
"PPW1318","PPW1318",524619.604252657,4271852.75015938,81.5625
"PPW1319","PPW1319",524520.977575619,4271785.61561592,83
"PPW1320","PPW1320",524383.728118113,4269335.79863362,84.4375
"PPW1321","PPW1321",524749.213177565,4269597.12786096,76.0625
"PPW1322","PPW1322",525098.087822444,4269558.2137142,64.1875
"PPW1323","PPW1323",523293.956208318,4272423.2917432,69.25
"PPW1324","PPW1324",523812.983763825,4272006.0823107,89.5625
"PPW1325","PPW1325",526476.925038028,4270813.14985148,48.75
"PPW1326","PPW1326",525176.478410783,4271392.01480942,64.5625
"PPW1327","PPW1327",522923.996717107,4268886.86131137,108.5625
"PPW1328","PPW1328",524432.063393299,4269667.97867377,77.4375
"PPW1329","PPW1329",524098.150643073,4271807.24334387,80.4375
"PPW1330","PPW1330",523780.817343631,4271478.60258879,94.0625
"PPW1331","PPW1331",523514.663081387,4271819.85828256,83.9375
"PPW1332","PPW1332",524973.896549538,4271283.47257756,79
"PPW1333","PPW1333",525164.824333436,4271316.38821988,75.5
"PPW1334","PPW1334",524896.803336482,4271280.09038619,55.1875
"PPW1335","PPW1335",525107.03693664,4271052.89818294,60.3125
"PPW1336","PPW1336",525474.369476126,4271066.35636093,62.25
"PPW1337","PPW1337",526114.090905826,4271200.25424342,56.875
"PPW1338","PPW1338",524958.968217698,4269709.1942238,63.1875
"PPW1339","PPW1339",524914.039338608,4269871.48892567,44.0625
"PPW1340","PPW1340",527216.077232748,4269295.17686163,80
"PPW1341","PPW1341",527138.991177722,4269509.09920371,97.4375
"PPW1342","PPW1342",527290.080273055,4269589.25837647,112.1875
"PPW1343","PPW1343",522967.883575765,4273416.23903607,98
"PPW1344","PPW1344",522878.630101277,4272886.91316513,74.5
"PPW1345","PPW1345",523416.312963283,4272232.45375475,87.125
"PPW1346","PPW1346",524586.780822019,4270828.66262427,84.5
"PPW1347","PPW1347",523098.845724998,4268725.45673059,112.9375
"PPW1348","PPW1348",523400.871930461,4269032.51310769,109.4375
"PPW1349","PPW1349",526511.992163545,4270451.25473232,86.25
"PPW1350","PPW1350",523435.72328602,4269096.49960006,102.5625
"PPW1851","PPW1851",527208.206776392,4269567.35304139,139.875
"PPW1852","PPW1852",527376.767724238,4269692.87379573,168.5
"PPW1853","PPW1853",527397.856630863,4269631.56304172,167.5625
"PPW1854","PPW1854",527321.242975422,4269514.23203843,151
