"","Plot","Quad","x","y","Tubbs.clark.RBR"
"1","PPW1501","A1",-2273816.06430374,2049464.00700683,346.742095947266
"2","PPW1501","A2",-2273810.40060542,2049483.39919342,293.490203857422
"3","PPW1501","A3",-2273804.73690705,2049502.79137924,221.193130493164
"4","PPW1501","A4",-2273799.07320862,2049522.18356428,221.193130493164
"5","PPW1501","A5",-2273793.40951015,2049541.57574856,215.865859985352
"6","PPW1501","B1",-2273797.04443017,2049458.44942654,350.171356201172
"7","PPW1501","B2",-2273791.38073124,2049477.84161267,263.268737792969
"8","PPW1501","B3",-2273785.71703226,2049497.23379804,221.193130493164
"9","PPW1501","B4",-2273780.05333323,2049516.62598263,221.193130493164
"10","PPW1501","B5",-2273774.38963415,2049536.01816646,215.410125732422
"11","PPW1501","C1",-2273778.02455757,2049452.89184381,350.171356201172
"12","PPW1501","C2",-2273772.36085803,2049472.28402949,251.588439941406
"13","PPW1501","C3",-2273766.69715844,2049491.6762144,251.588439941406
"14","PPW1501","C4",-2273761.03345881,2049511.06839854,197.155624389648
"15","PPW1501","C5",-2273755.36975912,2049530.46058192,215.410125732422
"16","PPW1501","D1",-2273759.00468594,2049447.33425864,296.191558837891
"17","PPW1501","D2",-2273753.3409858,2049466.72644387,251.588439941406
"18","PPW1501","D3",-2273747.6772856,2049486.11862832,251.588439941406
"19","PPW1501","D4",-2273742.01358536,2049505.51081201,287.803527832031
"20","PPW1501","D5",-2273736.34988507,2049524.90299493,287.803527832031
"21","PPW1501","E1",-2273739.98481529,2049441.77667104,314.642913818359
"22","PPW1501","E2",-2273734.32111454,2049461.16885582,314.642913818359
"23","PPW1501","E3",-2273728.65741374,2049480.56103981,204.168060302734
"24","PPW1501","E4",-2273722.99371289,2049499.95322305,287.803527832031
"25","PPW1501","E5",-2273717.33001199,2049519.34540551,287.803527832031
"26","PPW1507","A1",-2274082.81622837,2049872.39068263,117.989814758301
"27","PPW1507","A2",-2274077.15254069,2049891.78286559,82.873176574707
"28","PPW1507","A3",-2274071.48885297,2049911.17504778,143.982040405273
"29","PPW1507","A4",-2274065.8251652,2049930.5672292,193.231338500977
"30","PPW1507","A5",-2274060.16147739,2049949.95940984,222.571075439453
"31","PPW1507","B1",-2274063.79632702,2049866.83314086,119.041328430176
"32","PPW1507","B2",-2274058.13263874,2049886.22532337,143.982040405273
"33","PPW1507","B3",-2274052.4689504,2049905.6175051,143.982040405273
"34","PPW1507","B4",-2274046.80526203,2049925.00968606,193.231338500977
"35","PPW1507","B5",-2274041.1415736,2049944.40186626,230.211853027344
"36","PPW1507","C1",-2274044.77642666,2049861.27559664,153.104141235352
"37","PPW1507","C2",-2274039.11273776,2049880.66777869,153.104141235352
"38","PPW1507","C3",-2274033.44904881,2049900.05995998,138.189071655273
"39","PPW1507","C4",-2274027.78535982,2049919.45214049,230.211853027344
"40","PPW1507","C5",-2274022.12167079,2049938.84432024,230.211853027344
"41","PPW1507","D1",-2274025.75652726,2049855.71804998,153.104141235352
"42","PPW1507","D2",-2274020.09283775,2049875.11023158,153.104141235352
"43","PPW1507","D3",-2274014.42914819,2049894.50241242,152.514541625977
"44","PPW1507","D4",-2274008.76545859,2049913.89459248,152.514541625977
"45","PPW1507","D5",-2274003.10176895,2049933.28677177,133.795135498047
"46","PPW1507","E1",-2274006.73662884,2049850.16050087,64.5541152954102
"47","PPW1507","E2",-2274001.07293871,2049869.55268203,110.255172729492
"48","PPW1507","E3",-2273995.40924855,2049888.94486241,152.514541625977
"49","PPW1507","E4",-2273989.74555833,2049908.33704202,152.514541625977
"50","PPW1507","E5",-2273984.08186808,2049927.72922086,219.162063598633
"51","PPW1509","A1",-2276231.27952291,2053316.23049198,-26.3706512451172
"52","PPW1509","A2",-2276225.61592768,2053335.62263782,26.2285118103027
"53","PPW1509","A3",-2276219.95233245,2053355.01478287,26.2285118103027
"54","PPW1509","A4",-2276214.2887372,2053374.40692713,45.1456108093262
"55","PPW1509","A5",-2276208.62514195,2053393.7990706,45.1456108093262
"56","PPW1509","B1",-2276212.2593905,2053310.67326701,-26.3706512451172
"57","PPW1509","B2",-2276206.59579463,2053330.06541242,-26.3706512451172
"58","PPW1509","B3",-2276200.93219875,2053349.45755704,22.0765228271484
"59","PPW1509","B4",-2276195.26860286,2053368.84970087,12.1552362442017
"60","PPW1509","B5",-2276189.60500696,2053388.24184391,12.1552362442017
"61","PPW1509","C1",-2276193.23925905,2053305.11603956,29.3706569671631
"62","PPW1509","C2",-2276187.57566253,2053324.50818454,29.3706569671631
"63","PPW1509","C3",-2276181.912066,2053343.90032873,22.0765228271484
"64","PPW1509","C4",-2276176.24846947,2053363.29247213,22.0765228271484
"65","PPW1509","C5",-2276170.58487293,2053382.68461475,30.2464733123779
"66","PPW1509","D1",-2276174.21912855,2053299.55880963,14.4282636642456
"67","PPW1509","D2",-2276168.55553138,2053318.95095419,22.5401191711426
"68","PPW1509","D3",-2276162.89193421,2053338.34309794,40.5030899047852
"69","PPW1509","D4",-2276157.22833703,2053357.73524092,40.5030899047852
"70","PPW1509","D5",-2276151.56473984,2053377.12738311,30.2464733123779
"71","PPW1509","E1",-2276155.198999,2053294.00157723,14.4282636642456
"72","PPW1509","E2",-2276149.53540119,2053313.39372136,22.5401191711426
"73","PPW1509","E3",-2276143.87180337,2053332.78586469,7.30776786804199
"74","PPW1509","E4",-2276138.20820555,2053352.17800723,49.4919815063477
"75","PPW1509","E5",-2276132.54460771,2053371.57014899,113.090942382812
"76","PPW1510","A1",-2276219.82701611,2053528.61515089,79.151008605957
"77","PPW1510","A2",-2276214.16342239,2053548.00728969,121.147514343262
"78","PPW1510","A3",-2276208.49982866,2053567.3994277,121.147514343262
"79","PPW1510","A4",-2276202.83623492,2053586.79156491,59.1377258300781
"80","PPW1510","A5",-2276197.17264118,2053606.18370133,9.81359958648682
"81","PPW1510","B1",-2276200.80687474,2053523.05792759,112.982803344727
"82","PPW1510","B2",-2276195.14328037,2053542.45006596,112.982803344727
"83","PPW1510","B3",-2276189.479686,2053561.84220354,146.878677368164
"84","PPW1510","B4",-2276183.81609161,2053581.23434032,59.1377258300781
"85","PPW1510","B5",-2276178.15249722,2053600.62647632,59.1377258300781
"86","PPW1510","C1",-2276181.78673433,2053517.50070181,112.982803344727
"87","PPW1510","C2",-2276176.12313931,2053536.89283975,112.982803344727
"88","PPW1510","C3",-2276170.45954429,2053556.28497691,148.338638305664
"89","PPW1510","C4",-2276164.79594926,2053575.67711326,71.9518280029297
"90","PPW1510","C5",-2276159.13235422,2053595.06924883,71.9518280029297
"91","PPW1510","D1",-2276162.76659487,2053511.94347356,94.802978515625
"92","PPW1510","D2",-2276157.1029992,2053531.33561107,100.039497375488
"93","PPW1510","D3",-2276151.43940353,2053550.72774779,148.338638305664
"94","PPW1510","D4",-2276145.77580785,2053570.11988372,148.338638305664
"95","PPW1510","D5",-2276140.11221216,2053589.51201885,-5.82661962509155
"96","PPW1510","E1",-2276143.74645636,2053506.38624283,37.1823997497559
"97","PPW1510","E2",-2276138.08286005,2053525.77837991,38.3736228942871
"98","PPW1510","E3",-2276132.41926373,2053545.1705162,29.7579021453857
"99","PPW1510","E4",-2276126.7556674,2053564.5626517,29.7579021453857
"100","PPW1510","E5",-2276121.09207106,2053583.95478641,-5.82661962509155
"101","PPW1512","A1",-2276682.61425143,2052922.97844333,-29.1435794830322
"102","PPW1512","A2",-2276676.95066689,2052942.37061571,-29.1435794830322
"103","PPW1512","A3",-2276671.28708233,2052961.76278731,-9.57719230651855
"104","PPW1512","A4",-2276665.62349777,2052981.15495813,18.4143047332764
"105","PPW1512","A5",-2276659.9599132,2053000.54712816,18.4143047332764
"106","PPW1512","B1",-2276663.59411961,2052917.42126931,-29.1435794830322
"107","PPW1512","B2",-2276657.93053442,2052936.81344127,-29.1435794830322
"108","PPW1512","B3",-2276652.26694922,2052956.20561245,-13.1722421646118
"109","PPW1512","B4",-2276646.60336402,2052975.59778284,-65.8089752197266
"110","PPW1512","B5",-2276640.93977881,2052994.98995244,-65.8089752197266
"111","PPW1512","C1",-2276644.57398874,2052911.86409282,-8.40774250030518
"112","PPW1512","C2",-2276638.9104029,2052931.25626436,-38.1535987854004
"113","PPW1512","C3",-2276633.24681707,2052950.64843511,-13.1722421646118
"114","PPW1512","C4",-2276627.58323122,2052970.04060507,-13.1722421646118
"115","PPW1512","C5",-2276621.91964537,2052989.43277426,72.2119827270508
"116","PPW1512","D1",-2276625.55385881,2052906.30691386,-8.40774250030518
"117","PPW1512","D2",-2276619.89027233,2052925.69908497,30.0820503234863
"118","PPW1512","D3",-2276614.22668585,2052945.09125529,18.6136779785156
"119","PPW1512","D4",-2276608.56309937,2052964.48342483,18.6136779785156
"120","PPW1512","D5",-2276602.89951287,2052983.8755936,72.2119827270508
"121","PPW1512","E1",-2276606.53372983,2052900.74973243,-3.81573724746704
"122","PPW1512","E2",-2276600.87014271,2052920.14190311,30.0820503234863
"123","PPW1512","E3",-2276595.20655559,2052939.53407301,30.0820503234863
"124","PPW1512","E4",-2276589.54296846,2052958.92624213,25.5927581787109
"125","PPW1512","E5",-2276583.87938133,2052978.31841047,54.0294761657715
"126","PPW1515","A1",-2274927.30378766,2051066.26107546,28.8796901702881
"127","PPW1515","A2",-2274921.64013393,2051085.65324942,34.8435859680176
"128","PPW1515","A3",-2274915.97648017,2051105.0454226,34.8435859680176
"129","PPW1515","A4",-2274910.31282637,2051124.437595,98.6640319824219
"130","PPW1515","A5",-2274904.64917255,2051143.82976663,98.6640319824219
"131","PPW1515","B1",-2274908.28380259,2051060.70365504,79.7759017944336
"132","PPW1515","B2",-2274902.62014824,2051080.09582856,79.7759017944336
"133","PPW1515","B3",-2274896.95649385,2051099.48800129,91.4694213867188
"134","PPW1515","B4",-2274891.29283943,2051118.88017325,98.6640319824219
"135","PPW1515","B5",-2274885.62918498,2051138.27234444,98.6640319824219
"136","PPW1515","C1",-2274889.26381848,2051055.14623217,79.7759017944336
"137","PPW1515","C2",-2274883.6001635,2051074.53840524,86.4683837890625
"138","PPW1515","C3",-2274877.93650849,2051093.93057753,51.8750343322754
"139","PPW1515","C4",-2274872.27285345,2051113.32274905,51.8750343322754
"140","PPW1515","C5",-2274866.60919838,2051132.71491979,84.9222564697266
"141","PPW1515","D1",-2274870.24383534,2051049.58880684,60.6618537902832
"142","PPW1515","D2",-2274864.58017974,2051068.98097947,86.4683837890625
"143","PPW1515","D3",-2274858.9165241,2051088.37315132,51.8750343322754
"144","PPW1515","D4",-2274853.25286844,2051107.76532239,84.1625747680664
"145","PPW1515","D5",-2274847.58921274,2051127.15749269,100.529319763184
"146","PPW1515","E1",-2274851.22385316,2051044.03137906,83.0431976318359
"147","PPW1515","E2",-2274845.56019694,2051063.42355125,74.2108917236328
"148","PPW1515","E3",-2274839.89654068,2051082.81572265,74.2108917236328
"149","PPW1515","E4",-2274834.23288439,2051102.20789329,84.1625747680664
"150","PPW1515","E5",-2274828.56922807,2051121.60006314,100.529319763184
"151","PPW1521","A1",-2275480.31708658,2049151.55211882,51.7717628479004
"152","PPW1521","A2",-2275474.65343606,2049170.94436825,19.5899925231934
"153","PPW1521","A3",-2275468.98978549,2049190.33661693,19.5899925231934
"154","PPW1521","A4",-2275463.32613489,2049209.72886486,49.1381645202637
"155","PPW1521","A5",-2275457.66248425,2049229.12111202,27.8774471282959
"156","PPW1521","B1",-2275461.29716233,2049145.994741,51.7717628479004
"157","PPW1521","B2",-2275455.63351119,2049165.38699,19.5899925231934
"158","PPW1521","B3",-2275449.96986002,2049184.77923824,39.7054138183594
"159","PPW1521","B4",-2275444.30620881,2049204.17148573,25.7012023925781
"160","PPW1521","B5",-2275438.64255757,2049223.56373246,25.7012023925781
"161","PPW1521","C1",-2275442.27723902,2049140.43736075,49.0003471374512
"162","PPW1521","C2",-2275436.61358729,2049159.82960932,49.0003471374512
"163","PPW1521","C3",-2275430.94993551,2049179.22185712,39.7054138183594
"164","PPW1521","C4",-2275425.2862837,2049198.61410417,25.7012023925781
"165","PPW1521","C5",-2275419.62263185,2049218.00635046,2.93602967262268
"166","PPW1521","D1",-2275423.25731668,2049134.87997807,121.943687438965
"167","PPW1521","D2",-2275417.59366434,2049154.27222619,29.223611831665
"168","PPW1521","D3",-2275411.93001196,2049173.66447357,6.70540714263916
"169","PPW1521","D4",-2275406.26635955,2049193.05672018,6.70540714263916
"170","PPW1521","D5",-2275400.60270709,2049212.44896603,2.93602967262268
"171","PPW1521","E1",-2275404.2373953,2049129.32259296,121.943687438965
"172","PPW1521","E2",-2275398.57374236,2049148.71484064,29.223611831665
"173","PPW1521","E3",-2275392.91008937,2049168.10708757,27.3448886871338
"174","PPW1521","E4",-2275387.24643636,2049187.49933375,27.3448886871338
"175","PPW1521","E5",-2275381.58278329,2049206.89157917,135.341079711914
