,Plot,Species,PercScorch,ScorchUnderEstimate,Notes,SA.Basal.Area,SA.Count,TR.Basal.Area,TR.Count,Year,
1,PPW1301,QUEGAR,5,,,0,0,10822.39399,19,2014,
2,PPW1302,BACPIL,NA,,,163.5991443,1,0,0,2014,
3,PPW1302,PSEMEN,50,,,0,0,14.40333838,4,2014,
4,PPW1302,QUEAGR,10,,,76.90116161,8,22363.35552,4,2014,
5,PPW1302,QUELOB,NA,,,0,0,1320.254313,1,2014,
6,PPW1302,UMBCAL,100,,,113.123882,15,30.08561913,1,2014,
7,PPW1303,PSEMEN,NA,,,2.746458838,1,0,0,2014,
8,PPW1303,QUEAGR,80,,,22.21687201,6,2780.505848,1,2014,
9,PPW1303,QUEDOU,50,,,0,0,1521.614694,2,2014,
10,PPW1304,AESCAL,NA,,,0,0,634.0205214,2,2014,
11,PPW1304,QUEAGR,100,,,5.144986289,2,735.4154243,1,2014,
12,PPW1304,QUEGAR,30,,,0,0,8075.660266,2,2014,
13,PPW1305,ARBMEN,NA,,,11.76102334,2,0,0,2014,
14,PPW1305,HETARB,100,,,0,0,100.86256,3,2014,
15,PPW1305,QUEAGR,30,,,57.11784581,8,12767.17737,11,2014,
16,PPW1305,UMBCAL,100,,,103.1209724,31,2389.670045,8,2014,
17,PPW1306,ARBMEN,100,,,0,0,2387.785168,1,2014,
18,PPW1306,PSEMEN,NA,,,9.713097627,6,0,0,2014,
19,PPW1306,QUEKEL,0,,,0,0,4822.079651,8,2014,
20,PPW1306,UMBCAL,100,,,9.531513571,5,0.950331778,1,2014,
21,PPW1307,ARBMEN,90,,,30.64097417,12,3916.76886,4,2014,
22,PPW1307,ARCMAN,100,,,20.37024385,1,0,0,2014,
23,PPW1307,PSEMEN,70,,,0,0,415.4756284,1,2014,
24,PPW1307,QUEAGR,100,,,61.78578126,15,2583.377349,15,2014,
25,PPW1307,QUEKEL,0,,,0,0,3309.457767,3,2014,
26,PPW1307,UMBCAL,100,,,29.95822754,8,47.42234111,2,2014,
27,PPW1308,QUEGAR,0,,,0,0,8353.029517,10,2014,
28,PPW1309,QUEAGR,0,,,0,0,2907.312308,1,2014,
29,PPW1309,QUEKEL,0,,,0,0,4966.993467,3,2014,
30,PPW1310,ARCMAN,90,,,14.17643685,1,319.0797849,1,2014,
31,PPW1310,CEACUN,NA,,,0.453645979,1,0,0,2014,
32,PPW1310,CERBET,NA,,,9.966545614,4,0,0,2014,
33,PPW1310,QUEDOU,10,,,0,0,670.6671997,6,2014,
34,PPW1310,QUEGAR,10,,,0,0,4892.16662,8,2014,
35,PPW1311,ARCMAN,0,,,39.60762938,1,1219.680151,3,2014,
36,PPW1311,HETARB,0,,,0,0,223.0295165,1,2014,
37,PPW1311,QUEDOU,0,,,0,0,9781.136669,9,2014,
38,PPW1311,QUEGAR,0,,,0,0,728.5431903,1,2014,
39,PPW1312,AESCAL,0,,,4.06663461,2,0,0,2014,
