,Plot,Species,Type,Basal.Area,Count,Year,PercScorch
1,PPW1301,QUEGAR,TR,10822.39399,19,2014,
2,PPW1302,PSEMEN,TR,14.40333838,4,2014,
3,PPW1302,QUEAGR,TR,22363.35552,4,2014,
4,PPW1302,QUELOB,TR,1320.254313,1,2014,
5,PPW1302,UMBCAL,TR,30.08561913,1,2014,
6,PPW1303,QUEAGR,TR,2780.505848,1,2014,
7,PPW1303,QUEDOU,TR,1521.614694,2,2014,
8,PPW1304,AESCAL,TR,634.0205214,2,2014,
9,PPW1304,QUEAGR,TR,735.4154243,1,2014,
10,PPW1304,QUEGAR,TR,8075.660266,2,2014,
11,PPW1305,HETARB,TR,100.86256,3,2014,
12,PPW1305,QUEAGR,TR,12767.17737,11,2014,
13,PPW1305,UMBCAL,TR,2389.670045,8,2014,
14,PPW1306,ARBMEN,TR,2387.785168,1,2014,
15,PPW1306,QUEKEL,TR,4822.079651,8,2014,
16,PPW1306,UMBCAL,TR,0.950331778,1,2014,
17,PPW1307,ARBMEN,TR,3916.76886,4,2014,
18,PPW1307,PSEMEN,TR,415.4756284,1,2014,
19,PPW1307,QUEAGR,TR,2583.377349,15,2014,
20,PPW1307,QUEKEL,TR,3309.457767,3,2014,
21,PPW1307,UMBCAL,TR,47.42234111,2,2014,
22,PPW1308,QUEGAR,TR,8353.029517,10,2014,
23,PPW1309,QUEAGR,TR,2907.312308,1,2014,
24,PPW1309,QUEKEL,TR,4966.993467,3,2014,
25,PPW1310,ARCMAN,TR,319.0797849,1,2014,
26,PPW1310,QUEDOU,TR,670.6671997,6,2014,
27,PPW1310,QUEGAR,TR,4892.16662,8,2014,
28,PPW1311,ARCMAN,TR,1219.680151,3,2014,
29,PPW1311,HETARB,TR,223.0295165,1,2014,
30,PPW1311,QUEDOU,TR,9781.136669,9,2014,
31,PPW1311,QUEGAR,TR,728.5431903,1,2014,
32,PPW1312,ARBMEN,TR,7302.190415,10,2014,
33,PPW1312,HETARB,TR,18.82560128,6,2014,
34,PPW1312,PSEMEN,TR,6097.493619,2,2014,
35,PPW1312,QUEAGR,TR,10511.69071,14,2014,
36,PPW1312,QUEKEL,TR,301.7185585,1,2014,
37,PPW1312,UMBCAL,TR,5.12715775,2,2014,
38,PPW1313,ARBMEN,TR,5227.612139,9,2014,
39,PPW1313,HETARB,TR,61.75499365,9,2014,
40,PPW1313,PSEMEN,TR,2.08672438,1,2014,
41,PPW1313,QUEAGR,TR,4007.494129,2,2014,
42,PPW1313,QUEKEL,TR,1912.093062,4,2014,
43,PPW1313,UMBCAL,TR,0.967689077,1,2014,
44,PPW1314,ARCMAN,TR,949.357884,1,2014,
45,PPW1314,QUEAGR,TR,788.9324551,1,2014,
46,PPW1314,QUEDOU,TR,8469.341095,8,2014,
47,PPW1315,PSEMEN,TR,1.767145868,1,2014,
48,PPW1315,QUEGAR,TR,8850.472518,29,2014,
49,PPW1315,UMBCAL,TR,330.2911866,2,2014,
50,PPW1316,QUEAGR,TR,17395.83584,11,2014,
51,PPW1316,QUEGAR,TR,323.6547292,1,2014,
52,PPW1316,QUEKEL,TR,1590.431281,1,2014,
53,PPW1317,QUEAGR,TR,419.096314,1,2014,
54,PPW1317,QUEGAR,TR,13464.04812,49,2014,
55,PPW1318,QUEAGR,TR,4509.756254,3,2014,
56,PPW1318,QUEGAR,TR,7472.662972,4,2014,
57,PPW1318,QUEKEL,TR,3759.174791,1,2014,
58,PPW1319,PSEMEN,TR,2.717163486,1,2014,
59,PPW1319,QUEAGR,TR,1410.857845,2,2014,
60,PPW1319,QUEGAR,TR,1618.901964,2,2014,
61,PPW1319,UMBCAL,TR,3600.16198,6,2014,
62,PPW1320,AMOCAL,TR,9.561358701,2,2014,
63,PPW1320,ARBMEN,TR,4098.294246,9,2014,
64,PPW1320,FRACAL,TR,15.84203073,5,2014,
65,PPW1320,HETARB,TR,271.8571705,24,2014,
66,PPW1320,PSEMEN,TR,10411.19093,2,2014,
67,PPW1320,QUEAGR,TR,2826.503948,6,2014,
68,PPW1320,QUEGAR,TR,2216.260099,4,2014,
69,PPW1320,QUEWIS,TR,30.67961576,1,2014,
70,PPW1320,UMBCAL,TR,853.8306908,13,2014,
71,PPW1321,ARBMEN,TR,1583.370551,1,2014,
72,PPW1321,QUEAGR,TR,827.8351897,1,2014,
73,PPW1321,QUEGAR,TR,4206.121324,8,2014,
74,PPW1321,QUEKEL,TR,1268.516209,5,2014,
75,PPW1321,UMBCAL,TR,573.8420575,2,2014,
76,PPW1322,BACPIL,TR,20.65251595,1,2014,
77,PPW1322,QUEAGR,TR,1346.141036,1,2014,
78,PPW1322,QUEDOU,TR,10092.63147,11,2014,
79,PPW1323,QUEAGR,TR,6511.983259,5,2014,
80,PPW1323,QUEDOU,TR,2664.237467,4,2014,
81,PPW1324,ARBMEN,TR,1585.155369,1,2014,
82,PPW1324,QUEAGR,TR,1817.705874,3,2014,
83,PPW1324,QUEGAR,TR,3486.926336,3,2014,
84,PPW1324,QUEKEL,TR,2565.018117,5,2014,
85,PPW1325,ARCMAN,TR,797.6994621,4,2014,
86,PPW1325,QUEAGR,TR,1010.344051,1,2014,
87,PPW1325,QUEDOU,TR,6305.543629,10,2014,
88,PPW1325,QUEGAR,TR,3845.217124,5,2014,
89,PPW1326,ARBMEN,TR,2173.834854,2,2014,
90,PPW1326,PSEMEN,TR,7423.196239,42,2014,
91,PPW1326,QUEAGR,TR,36.31681108,1,2014,
92,PPW1326,QUEGAR,TR,8437.1005,8,2014,
93,PPW1326,UMBCAL,TR,990.8639778,7,2014,
94,PPW1327,ARBMEN,TR,1229.281643,2,2014,
95,PPW1327,HETARB,TR,110.9951388,10,2014,
96,PPW1327,PSEMEN,TR,9218.219265,31,2014,
97,PPW1327,QUEAGKE,TR,12.10903326,1,2014,
