OID_COPY_1,Canopy_Damage_Percent_MEAN,Soil_Burn_Severity_MEAN,RBR_MEAN
1,35.17084,1,-15.5408
2,3.484139,1.204545,-16.7388
3,10.52131,1.169059,17.47235
4,96.897,2.739837,499.5396
5,99.25242,2.245614,436.8852
6,73.11724,1.961538,248.0594
7,98.20126,2.410959,344.3883
8,99.47127,2.58104,492.3742
9,34.95984,1.406593,200.725
10,99.96386,2.748691,577.9065
11,86.74491,2,348.3828
12,44.60338,1.384615,304.7473
13,69.87443,2.174545,209.0771
14,17.45786,1.420213,225.0357
15,66.86674,2.311284,221.3579
16,73.87609,1.465753,257.2262
17,98.87698,2.640523,520.6308
18,96.96796,2.188157,451.2377
19,99.39987,2.708524,535.6511
20,99.22292,2.817391,399.3704
21,28.57762,1,179.4703
22,67.80051,2.170732,272.6655
23,99.96195,2.799458,518.4693
24,94.05338,1.903846,413.5312
25,54.73401,1.446215,140.4167
26,21.27949,1.466292,106.6924
27,66.59892,1.977273,314.7299
28,36.79693,1.264706,78.66558
29,99.26689,2.862319,486.4128
30,97.8701,2.834783,541.571
31,65.39924,1.714286,355.3599
32,96.02054,1.638462,206.6234
33,69.88345,1.277228,163.0876
35,63.34948,1.654054,77.50031
36,5.335347,1.284615,233.7925
38,67.783,1.633028,92.27256
40,79.61142,2,26.36138
41,99.01263,2.739336,104.554
42,7.401316,1.601093,38.52532
43,95.7191,1.87037,317.6208
44,49.29271,1.638095,519.416
45,54.87977,1.962963,159.2407
46,30.52133,1.241758,214.9805
47,96.09966,1.9,192.7933
48,90.27713,2.432864,142.9573
49,49.53899,1.448276,182.564
50,100,2.816327,227.9674
51,46.78328,1.396491,382.1006
53,28.26333,1.368421,188.5166
54,46.35338,1.172414,515.4935
55,91.62759,1.564103,126.6445
56,28.26192,1.356061,-5.47295
57,98.13218,2.986864,113.713
59,89.52438,1,291.2116
60,8.833075,1.038369,249.7846
61,100,1.535354,181.7305
62,46.14305,1.259434,570.1251
63,46.1334,1.417112,-37.8036
64,78.922,1.447761,-35.3209
65,62.63976,1.692308,6.274694
66,65.90746,1.997126,252.6218
67,99.74317,2.942529,136.4671
68,94.73312,2.695095,202.7828
69,97.48201,2.240385,187.162
70,99.59271,2.86803,136.6563
71,44.94141,1.563158,181.3152
72,99.3376,2.962121,354.8537
73,94.3692,2.954148,537.1764
74,78.70216,3,508.1387
75,95.41109,1.74359,608.4399
76,63.96667,1.467532,109.7142
77,3.746286,1.11194,542.0565
78,17.40202,1,575.4059
79,6.683663,1.020408,566.2212
80,50.42254,1.372881,225.7184
81,26.29977,1.00813,134.4112
82,47.97997,3.142857,39.00663
83,97.51343,2.210526,67.01186
84,30.44152,1.516854,-32.8283
85,23.39919,1.266055,229.5143
86,73.98098,1.617647,152.6247
87,63.48999,1.719057,558.2986
88,4.283756,1.14,233.2788
89,23.2329,1.292962,185.2235
90,78.51504,2,-18.7425
91,17.99773,1.344828,166.9462
92,94.90405,2.071287,166.2931
93,97.25399,2.424138,12.44854
94,16.98361,1,63.38307
95,79.20023,3.063291,171.0987
96,95.87932,2.166667,80.34479
97,12.51484,1.084112,211.4616
98,77.26998,1.852459,429.4686
99,30.88838,1.560976,113.0155
100,53.71073,1.990683,578.4836
101,28.00047,1.568627,237.7684
102,69.76648,1.679739,66.04065
103,2.55612,1.038278,126.6021
105,13.82979,1,111.208
106,36.74079,1.013793,153.5641
107,46.06853,1.827586,91.24056
108,59.58729,1.562327,131.3239
109,70.44478,2.27686,55.52568
110,78.10158,1.832061,150.2692
111,65.92233,1.230088,116.0668
112,49.90965,1.317568,218.4201
113,57.71036,2,106.2584
114,35.29607,1.158621,102.0306
115,99.03846,2.739057,207.6605
116,0.590433,1.078313,166.8819
117,41.47498,1.706522,214.8974
118,73.37151,2.255274,113.75
119,12.40147,1.666667,136.6213
120,45.44041,1.606061,97.40151
121,7.116397,1.376623,538.1751
122,93.95067,1.511628,30.32734
123,75.63025,2.098592,182.6705
124,61.45003,1.892562,321.888
125,90.37876,2.47644,141.1467
127,37.15429,1.145833,137.8631
128,12.29264,1.031088,89.2909
129,27.89116,1.631841,66.22286
130,57.20177,2,341.9353
131,100,1.978495,205.1332
132,49.90378,1.114943,376.7978
133,45.93134,1.179104,121.8013
134,10.41528,1.15894,137.5224
135,77.80785,1.788462,67.99774
136,95.00914,2.403698,167.029
137,89.73254,2.215488,172.9886
138,48.51915,1.997963,293.9027
139,78.35761,1.68,154.9242
140,98.15162,2.295652,114.4908
141,100,2.670659,37.13718
142,82.45726,2.433333,169.5556
143,13.96028,1.138462,468.1108
144,73.65464,1.863014,268.5136
145,47.68958,1.863158,150.0276
146,29.12787,1.142857,128.8509
147,45.13093,1.224138,373.4926
148,92.62404,1.825581,503.798
149,30.67039,1.412651,393.002
150,65.1868,2.048387,80.27006
151,68.98448,2.002288,183.7448
152,78.35152,2.049751,160.9099
154,97.37944,2.338583,110.5907
155,98.91257,2.649215,196.3605
156,67.17391,1.032258,278.0326
158,37.95009,1.22,123.971
159,96.384,2.4261,231.105
160,46.42913,1.135135,195.1237
161,31.33433,1.155,213.4494
162,100,1.55102,167.1678
163,40.45428,1.337349,344.2797
164,73.07772,1.615385,483.0177
165,62.60144,1.830435,70.76662
166,44.89852,1.307692,131.1097
167,56.76223,1.490975,142.382
168,100,2.2875,363.0255
169,96.69283,2.893605,90.94922
170,21.30859,1.282353,100.2546
171,29.53216,1,271.1124
172,99.57045,2.917293,81.81174
173,83.53252,2.501661,240.9433
174,92.32601,2.292566,166.8157
175,91.89152,1.76875,137.3513
176,86.1298,2.265823,179.3201
177,93.26679,2.550037,350.2483
178,85.07109,1.784314,576.6771
179,58.75161,1.472826,116.4758
180,88.95651,2.091398,1.107246
181,75.94937,1.459459,548.4711
182,39.14634,1.223881,348.1027
183,70.27574,1.950464,254.2441
184,100,3,282.6455
185,95.49619,2.73808,224.8329
186,69.04594,1.957143,346.8001
187,37.55413,1.653061,208.2535
188,67.79,3.046296,192.1316
189,93.1989,3,195.8154
190,77.70492,1.398438,313.3755
191,37.70641,1.490066,170.2807
192,64.76731,1.543478,243.982
193,26.22167,1.220994,608.7035
194,46.22903,1.371069,550.6208
195,46.05554,1.198582,190.9091
196,72.55459,2.119565,112.0054
197,86.34703,1.875,410.1601
198,65.13551,1.797297,637.4132
199,97.03444,2.612686,226.1839
201,51.49988,1.421687,144.5559
202,39.15989,1.418605,179.6771
203,66.69903,1.445946,142.6475
204,84.65033,1.560241,132.3768
205,94.27462,2.105691,124.0593
206,96.28123,1.77381,261.3495
207,96.53555,2.217742,179.3189
208,91.09215,2.498282,137.4104
209,15.75855,1.761364,561.5285
210,94.69369,2.608333,281.6405
211,88.96526,1.856,202.3465
212,57.12609,1.798883,199.281
213,98.68523,2.67475,178.6785
214,86.42773,1.611111,182.3296
215,46.67548,2.030516,334.6624
216,38.31479,1.02381,215.3432
217,93.35069,2.692053,370.7098
218,68.56634,2.763441,335.9759
219,52.11965,1.671233,166.352
220,78.87298,1.803279,395.1525
221,99.57627,1.460317,317.9219
222,100,1.533333,201.6709
223,98.23435,1.555556,566.2308
224,98.44852,2.941748,241.7879
225,97.90141,2.12388,199.8684
226,98.82947,2.909273,91.0733
227,78.50299,2.679389,468.2583
228,93.43173,1.695876,319.9913
229,96.49021,2.092105,105.1626
230,78.45626,2,95.31836
231,67.82988,1.977778,230.709
232,99.07457,1.611241,220.8498
233,61.13767,1.580645,292.7557
234,99.69772,2.625,603.7199
235,12.53474,1.223022,381.0064
236,33.49251,1.287356,552.2395
237,3.839611,1.232394,553.0199
238,73.10924,2.959184,302.1564
239,3.382207,1.146617,332.6864
240,86.39621,1.747368,333.0801
242,16.37369,1.182741,331.5697
243,2.41064,1.202381,309.3343
244,11.91648,1.154762,148.3459
245,3.988301,1.308824,544.7726
246,89.32187,2.142562,85.85175
247,97.13284,2.694488,56.40023
248,22.16763,1.382114,23.30889
249,97.34861,2.755319,603.7836
250,96.29746,2.653759,1.580963
251,62.11242,1.740909,311.0367
252,75.77784,1.767123,-21.5573
253,46.88178,1.351145,52.65892
255,95.05266,2.796543,-37.7985
256,27.22133,1.361111,-28.8727
257,27.34051,1.12963,25.42836
258,8.794541,1.321429,417.6119
259,44.59393,1.482759,559.2695
260,16.50071,1,82.70189
261,99.39774,2.452489,424.1779
262,48.9199,1.45,571.6743
263,50.6454,1.711864,243.5421
264,90.2842,1.633333,127.5866
265,100,2.056122,47.28762
267,76.67416,1.42,144.5206
268,95.38147,2.592899,492.852
269,95.62626,2.549921,68.69617
270,25.23435,1.261905,-59.8601
271,54.41279,1.782609,-26.2036
272,66.65747,1.67619,125.3951
273,4.988124,1.811321,-15.5319
274,51.80742,2.028169,470.7807
275,78.5334,3.192547,106.6649
276,77.92468,1.295775,105.6474
277,98.25115,2.608392,165.9073
278,97.63758,2.761518,465.8385
279,34.18941,1.303226,456.6807
280,10.37219,1.225806,208.0033
281,76.00083,2.308642,559.8023
282,13.18249,1.231008,433.737
283,99.60964,2.455471,77.06903
284,22.35266,1.469388,127.9778
285,95.84785,3.228723,167.1647
286,23.76667,1.052632,54.32649
287,86.83252,2.704293,202.7642
288,100,2.646707,578.5765
289,100,2.135802,42.72508
290,60.16061,1.765957,515.9513
291,98.34641,2.483954,558.8656
292,71.64117,1.446809,36.88942
293,80.95752,1.685185,48.53815
294,65.98545,1.583333,377.2591
295,41.96604,1.918367,74.94913
296,98.01767,2.915888,571.8537
297,38.12074,1.164557,194.9702
298,99.13733,2.789883,493.0346
299,96.26992,2.104167,63.63017
300,85.78621,2.996933,475.1275
301,100,2.242718,471.2478
302,85.67251,1.761364,449.8747
303,68.9444,1.716216,172.557
304,43.3772,1.508197,486.6657
305,100,2.025316,314.1916
306,100,2.294118,218.7553
307,61.71831,1.364865,163.8425
308,42.86089,1.765432,148.3151
309,98.50267,2.4,593.5198
310,98.15629,2.542797,140.3982
311,27.53527,1.326087,576.0668
312,3.954802,1,380.3293
313,23.57046,1.4,553.2654
314,55.70668,1.767123,501.9463
315,93.04827,3.480603,189.6737
316,80.44619,1.542857,235.0941
317,38.68763,1.636364,235.5325
318,39.74359,1.27551,266.9385
319,81.53945,1.536481,395.2671
321,99.14183,2.752309,169.9296
322,18.25076,1.238095,95.92664
323,51.91269,1.724138,411.692
324,88.61076,2.495041,421.5525
325,54.18719,1.5,138.4757
326,96.06404,2.55719,67.83519
327,97.4248,1.744921,68.63001
328,48.04281,1.560284,308.119
329,39.98572,1.565217,630.8372
330,95.18986,2.720874,155.6783
331,100,2.026814,165.8937
332,59.71557,1.564516,213.4836
333,80.48321,1.480769,288.7835
334,76.84359,1.772727,455.0733
335,41.20582,1.604651,57.32465
336,61.02921,1.54902,230.9329
337,75.28024,2.128205,452.4152
338,100,1.98,179.5429
340,79.30769,1.898204,437.7261
341,87.25117,2.218354,277.9588
343,79.82539,2,150.5385
344,85.89184,2.24341,134.9004
345,78.83055,1.957627,555.0269
347,84.8971,2.008345,483.7575
348,56.29795,1.428571,292.3462
349,42.66104,1.64,164.5879
350,79.70332,1.861538,212.4711
351,91.90958,2.134545,200.1722
352,97.14792,2.009198,220.4042
355,11.99939,1.428571,252.0372
356,24.22619,1.633333,255.4052
358,75.11111,1.2,42.02448
360,56.99296,1.790123,276.7187
361,78.60535,1.674699,370.1985
362,35.73104,1.461538,70.93037
363,91.95727,1.421053,252.3582
364,42.80967,1.772222,372.2841
365,85.68287,1.835294,255.3821
366,50.91274,1.755814,67.12966
367,33.04598,1.321429,351.2387
368,89.90397,2.802312,215.8584
369,74.56359,1.092593,205.3967
370,78.28903,1.746032,280.765
371,45.60348,1.610526,297.3172
372,72.0809,1.537975,331.11
373,79.95992,1.803279,58.86622
374,32.40145,1.313993,4.482082
375,99.37019,2.246154,88.251
376,68.55184,1.696429,199.6673
377,64.46547,1.75,24.93737
378,91.51028,1.813953,252.8758
379,93.22748,1.673021,7.1479
380,47.97147,1.444444,226.3501
381,92.41234,2.371827,252.3612
382,70.0404,1.557895,201.7382
383,44.74664,1.448718,183.0212
384,34.35492,1.347826,199.8073
385,46.55436,1.444444,240.5232
386,26.45332,1.423913,270.0625
387,64.28888,1.271429,243.8517
388,46.80031,1.418605,418.7975
389,79.75373,1.450271,194.7779
390,31.38889,1,282.2451
391,40.97441,1.305085,224.1752
393,80.04566,1.917352,234.3063
394,57.67442,1.704225,277.6439
395,72.65129,1.361446,161.1652
396,27.87703,1.296296,393.4059
397,51.73965,1.784,292.0141
398,44.87786,1.657895,177.0306
399,64.55172,1.835821,311.0747
400,55.76506,1.9375,339.4242
401,26.85492,1.614987,202.8843
402,74.8538,1.724138,462.1223
404,57.29743,1.94,160.0971
405,53.3049,2.192308,146.6753
406,97.80876,1.78,170.3806
407,31.9633,2.336449,146.0985
408,15.70561,1.608,132.5902
409,92.42152,2.190959,211.8965
410,85.69697,1.542169,201.4193
411,47.84748,2.123596,280.2707
412,74.98099,1.966667,122.3158
413,83.23615,2.089005,194.0071
414,41.37205,1.978261,358.2414
415,23.01732,2.078947,187.316
416,14.86792,1.827586,178.2525
418,43.12668,1.848837,86.57128
419,77.01504,2.111111,254.0009
421,14.64968,1.543478,223.1072
422,81.10666,1.582278,233.0114
423,70.26913,1.994118,235.5904
424,100,1.617284,169.2831
425,91.85043,2,211.4489
426,62.54968,1.69697,342.9648
427,31.5691,2.356322,316.1534
428,50.76667,2.580645,323.1289
429,29.51654,2.264706,279.0514
430,32.13826,1.754902,282.1373
431,7.105719,1.366667,201.9872
432,21.53893,1.460317,351.2936
433,41.12213,2.229885,294.6904
434,37.76812,1.083333,408.1697
436,80.96638,1.441589,190.6599
437,33.04803,1.984496,471.5079
438,21.69921,1,317.8999
439,95.90909,2.033019,264.9111
440,27.85975,1,280.1293
441,41.49299,1.211111,294.4877
442,39.54693,1.52381,246.5932
443,58.35246,1.086957,306.5386
444,100,1.763636,212.225
445,64.61874,1.517949,276.4298
447,93.40223,1.44385,240.7332
448,24.33292,1.202703,278.9259
449,93.71341,1.333333,246.4054
450,36.1978,1.275862,219.8283
451,36.18044,1,270.9671
452,33.84673,1,319.4663
453,16.2673,1,369.321
454,0.458872,1.073684,224.0509
455,1.742073,1.062257,121.0057
456,99.74249,1.699074,77.82129
457,35.04922,1.088,113.6466
458,23.1751,1.12959,224.223
459,94.92308,1.985714,113.8936
460,59.98099,1.661654,212.2757
461,52.38845,1.626703,216.1791
462,51.18778,1.340336,155.0774
463,47,1,13.74484
464,100,2.382671,260.3014
465,97.95779,2.814029,-13.2929
466,20.82766,1.285714,211.287
467,93.64501,2.9375,87.41576
468,81.10832,1.200758,90.33697
469,21.81741,1,268.4444
470,99.67766,3.325843,210.3905
472,57.8125,1,234.2788
473,65.71936,1.542373,133.7714
474,27.52374,1.408403,134.7834
475,78.36143,1.8,112.6206
476,23.96908,1.396684,103.5642
478,11.54228,1.003559,16.31676
479,20.44741,1.127907,18.82501
480,30.58339,1.024038,2.717671
481,94.99481,2.044444,29.58185
482,68.5644,1.614907,5.616019
483,18.80734,1.590909,315.3438
484,22.99465,1.021583,106.3058
485,11.80422,1.144374,36.34298
486,40.66113,1.586207,114.471
487,44.65214,1.065421,223.8515
488,21.24229,1.127517,120.7772
489,82.74112,2.075269,114.1725
490,78.39931,1.295082,5.445773
491,56.61489,1.434579,461.9224
492,40.78465,1.479263,536.667
493,44.1118,1.825,60.85168
494,77.95958,1,587.9834
495,95.72553,1.142857,118.7301
496,62.82233,1.654054,37.81971
497,92.40549,1.454545,622.7452
498,66.67886,1.228137,-21.3088
499,40,1.291667,-13.3936
500,74.39953,1.456522,132.6951
501,14.95136,1.153226,81.28299
502,63.06647,1.057143,216.9912
503,12.52007,1.129555,74.91547
504,28.65634,1,121.2848
505,23.29551,1.079137,-1.75833
506,5.30914,1.812977,164.6181
507,7.002075,1,170.2287
508,28.86957,1.02809,307.3636
509,17.10408,1.126984,251.4904
510,57.84207,1.209302,81.76433
511,98.82049,2.377551,22.75878
512,72.93681,1.975439,86.23887
513,95.5243,2.642857,127.8251
514,100,2.295374,82.32388
515,67.76326,1.112186,120.8109
516,100,2.623955,284.394
517,52.22518,1.333333,234.4149
518,96.99707,2.652941,128.9358
519,99.34055,3,87.44344
520,49.92501,1.471429,64.00132
521,88.19715,1.949495,128.5622
522,100,1.383721,110.6607
523,53.33512,1.142857,117.6507
524,49.35371,1.333333,177.6425
525,96.09375,2.083799,185.991
526,18.07595,1.130435,250.8201
527,83.18722,1.997015,93.79571
528,64.04199,2.369369,86.7742
529,10.32717,1.275591,235.3189
530,74.82869,1.5,46.73946
531,23.01296,1.258182,9.11288
532,19.60474,1.090426,18.64595
533,94.23444,2,81.84898
534,15.21282,1.043011,14.175
535,50.42113,1.594225,31.09335
536,58.19039,1.296296,115.2438
537,55.21445,1.278912,221.4658
538,27.91294,1.705036,412.7772
539,16.60345,1.404762,235.0317
540,19.98522,1.077364,482.2108
541,99.86622,1.181818,491.7557
542,62.68321,1.050926,149.7051
543,43.75954,1.6,455.5722
544,70.72925,1.239544,112.9267
545,84.63052,1.147059,481.8043
546,38.75459,1.509653,666.6388
547,79.11333,1.529412,83.77494
548,100,2.142857,123.2239
549,51.78291,1.2,204.3821
550,96.70365,2.695652,189.8366
551,24.85952,1.046154,120.2374
552,28.92975,1.536873,306.3661
553,4.277286,1.727273,207.333
554,34.177,1.414035,196.7106
555,26.47969,1.413476,440.6408
557,92.0712,1.705882,60.43301
558,100,1.776119,86.772
559,49.10281,1,139.5392
560,85.50754,1.293814,59.19606
561,37.5174,1.651376,141.7847
562,78.77637,1.44898,51.04424
563,25.12411,1.193548,128.2242
564,44.46474,1.277778,154.5181
565,45.86087,1,222.1271
566,18.10188,1.201754,114.0045
567,39.12203,1.360544,56.73378
568,57.05974,1.304348,21.03707
569,8.50216,1.217949,228.1003
570,31.05437,1.166667,95.7275
571,42.45887,1.048866,125.1615
572,80,1.041096,52.24925
573,1.810548,1,67.35694
574,91.87245,1.416667,78.48096
575,32.34636,1.231183,84.86955
576,35.62507,1.182796,407.9714
577,1.456945,1,185.4218
578,26.65052,1.217949,206.8611
579,15.11418,1,71.08759
580,91.05159,1.776316,80.69615
581,98.85217,2.342105,70.03006
582,74.77912,1.019737,104.0961
583,38.08669,1.709677,115.9858
584,98.14264,2,-17.4371
585,98.95571,3.115453,362.7824
586,99.43564,2.598707,314.5512
587,96.20319,2.162769,61.20025
588,41.56549,1.196532,220.9749
589,67.99757,1.537383,90.91633
590,37.96028,1.5125,157.0757
591,98.02673,3.166302,29.24174
592,32.19738,1.222527,90.72145
593,29.26332,1.430233,207.8538
594,10.02064,1,29.95382
595,23.47857,1.465116,117.6246
596,1.821968,1.011905,15.10733
597,97.42285,2.598706,214.1029
598,79.50495,1.282609,73.00978
599,60.53097,1.219512,164.1886
600,99.03414,2.228571,139.0352
601,8.141238,1,28.53344
602,62.65339,1.944444,63.92036
603,28.046,1.368794,33.39183
